title	exam_id	id	final_question_number	correct_ans	distractor_a	distractor_b	distractor_c	distractor_d	distractor_e	section	stem	question_text	critique	critique_media	pubmed_ref_id_1	pubmed_ref_id_2	pubmed_ref_id_3	pubmed_ref_id_4	abstract_1_title	abstract_2_title	abstract_3_title	abstract_4_title
VAD; destination therapy; indications; risk assessment	sesats 10	1477	176	C	"<p>45 yo man, EF 20% with acute viral cardiomyopathy on short-term VAD support for 2 weeks</p>"	"<p>55 yo woman, EF 10% with newly diagnosed adriamycin-induced cardiomyopathy (breast cancer)</p>"	"<p>65 yo man, EF 15% with ischemic cardiomyopathy on chronic dobutamine for 2 months, chronic myelogenous leukemia</p>"	"<p>67 yo woman, EF 15% 7 days after elective MVR with post-cardiotomy shock, dependent on IABP and 2 inotropes</p>"	"<p>75 yo man, EF 10% 30 days after his first massive MI, still inotrope-dependent</p>"	Adult Acquired (TIVV)		"<p>According to current CMS guidelines, which of the following patients is eligible for a VAD as destination therapy?</p>"	"<p>The term &quot;destination therapy&quot; refers to implantation of an LVAD or total artificial heart as a permanent device for to treat end-stage heart failure. The initial approval of this application for the Heartmate electric, pulsatile pump (currently designated as Heartmate XVE) required that patients be on optimal medical therapy for at least two months. This involves current standard treatments, which may include any or all of the following: ACE inhibitors, ARBs, β-blockers, vasodilators, aldactone antagonists, and ICD/Biventricular pacemakers. Patients must not be eligible for cardiac transplantation and have a life expectancy of less than two years. The approval of this device was based on the landmark REMATCH trial (see below) that showed a survival advantage for patients receiving the Heartmate device compared to continued medical therapy.</p><p>Age over 65 is a relative contraindication to transplantation and many centers now transplant older patients if they do not have significant comorbidity. The REMATCH trial included only patients who were in NYHA Class IV heart failure on medical therapy (2/3 were dependent on inotropes), with EF &lt; 25%,&nbsp;VO<sub>2max</sub>&lt; 14 ml/(kg*min), and who were ineligible for transplantation. The trial only involved patients with chronic heart failure and was not meant to enroll patients with acute heart failure from acute myocardial infarction or post-cardiotomy shock. Although recent data and interest is directed at applying destination therapy for Class III heart failure (particularly class IIIB), no data is yet available from ongoing clinical trials.</p><p>Evaluation of patients for destination therapy VAD should include a complete and systematic workup equivalent to evaluation for cardiac transplantation. Comorbid factors associated with poor survival include severe right heart dysfunction, coagulopathy associated with liver dysfunction, renal insufficiency, poor nutritional status (albumin &lt; 3.3 mg/dl), inability to undergo cardiopulmonary testing (often due to dependence on inotropes). In addition, a stable psychosocial condition is necessary for care associated with ventricular assist devices, whether for bridge-to-transplant or destination therapy.</p><p>&nbsp;</p><div>Current CMS guidelines for VAD destination therapy relate to patients who have chronic end-stage heart failure (NYHA Class IV left ventricular failure for at least 90 days with a life expectancy of less than 2 years). &nbsp;They must not be candidates for heart transplantation, and must meet all of the following conditions: &nbsp;</div><div>a. The patient&rsquo;s Class IV heart failure symptoms have failed to respond to optimal medical management, including dietary salt restriction, diuretics, digitalis, beta-blockers, and ACE inhibitors (if tolerated) for at least 60 of the last 90 days.</div><div>b. The patient has a left ventricular ejection fraction (LVEF) &lt;25%.</div><div>c. The patient has demonstrated functional limitation with a peak oxygen consumption of &lt;12 ml/kg/min; or the patient has a continued need for intravenous inotropic therapy owing to symptomatic hypotension, decreasing renal function, or worsening pulmonary congestion.</div><div>d. The patient has the appropriate body size (&gt;1.5 m<sup>2</sup>) to support the VAD implantation.</div><div>&nbsp;</div><div>The acute course of several of the patients described excludes them from consideration. &nbsp;Adriamycin-induced cardiomyopathy is a lethal condition, but a new diagnosis dictates maximal medical therapy as primary treatment. &nbsp;Transplantation for this condition may be possible depending on cancer status and intervals, which must be resolved before destination VAD can be considered. &nbsp;Imatinib therapy for CML has improved outcomes dramatically, and bone marrow or stem cell transplantation is an option for recurrent disease.</div>"		16818117	17638928	16303098	17489679	Candidate selection for longterm left ventricular assist device 	Outcomes of left ventricular assist device implantation as desti	clinical and costeffectiveness of left ventricular assist device	Ventricularassist devices for the treatment of chronic heart fai
VAD; destination therapy; operative planning; prosthetic valve management	sesats 10	1483	177	E	<p>Another cardiac cath is not necessary since the left ventricle will be defunctionalized.</p>	"<p>Destination LVAD is feasible, but the mechanical valve must be changed to a bioprosthesis.</p>"	<p>Echo demonstration of severe right ventricular failure mandates BiVAD destination therapy.</p>	<p>This patient is not a candidate for destination therapy due to the mechanical prosthesis.</p>	<p>This patient&#39;s aortic valve should be sewn shut or patched closed if an LVAD is placed.</p>	Adult Acquired (TIVV)		<p>A 68-year-old man had aortic valve replacement with a bileaflet mechanical valve and CABG to the posterior descending artery 12 years ago. He now has severe heart failure but is not a transplant candidate due to chronic lymphocytic leukemia that has been in remission. Which of the following statements is true?</p>	"<p>Right heart function must be accurately assessed during patient evaluation for destination therapy (DT). All DT at present involves placing an isolated left-sided mechanical device. Hence, long-term success requires adequate right ventricular (RV) function. Although there are no firm guidelines that assure RV function, current workup includes a hemodynamic profile and echocardiography. Low pulmonary artery pressure, low RV stroke work index (RVSWI) and several other parameters have been associated with RV failure after LVAD placement. A right ventricular &quot;risk score&quot; based on preoperative clinical, laboratory, echocardiographic, and hemodynamics may be used to predict post-LVAD RV failure. Catheterization is mandatory in this patient to gather pressure data and to evaluate the posterior descending artery graft. If the conduit supplies a large territory of the RV then it must be preserved or regrafted.</p><p>This patient&#39;s mechanical valve is a significant issue. Diverting flow with an LVAD will lead to stasis and the prosthetic valve will clot. If the valve then opens periodically, the risk of thromboembolization is quite high. This complication must be prevented, although adding an aortic valve procedure may increase the morbidity and mortality of LVAD placement. This does not, however, prohibit destination LVAD placement. Replacement of the existing mechanical valve with a bioprosthesis adds to the cross clamp time, and this does not prohibit ejection and the thromboembolic risk. The best strategy is to close the prosthetic valve with a prosthetic patch or immobilizing suture through an aortotomy. The disadvantage of this strategy is that if the LVAD fails, there will be no cardiac output and mortality is certain.</p>"		18544385	17178333	12354733	11383781	Improving outcomes with longterm destination therapy using left 	Management of aortic insufficiency with continuous flow left ven	Predictors of severe right ventricular failure after implantable	Surgical management of valvular disease in patients requiring le
VAD; postcardiotomy shock; treatment; cannulation	sesats 10	1485	178	A	"<p>BiVAD support with short-term external ventricles, cannulating the LV apex for LVAD inflow.</p>"	"<p>BiVAD support with short-term external ventricles, cannulating the LA for LVAD inflow.</p>"	<p>percutaneous LA and femoral cannulation for left ventricular support with an external device.</p>	<p>placing a long-term internal mechanical ventricle as destination therapy.</p>	<p>withdrawal of support because of patient age and overwhelming mortality of this condition.</p>	Adult Acquired (TIVV)		<p>A 71-year-old man is undergoing a 4-vessel CABG and mitral valve repair the day after failed percutaneous angioplasty of the right coronary artery for an acute myocardial infarction. He cannot be separated from bypass despite two high-dose inotropes and an intra-aortic balloon pump. Of the following choices the best strategy to deal with this includes</p>	"<p>Patients with acute myocardial infarction who have failed percutaneous angioplasty and undergo emergent CABG surgery are at high risk for postcardiotomy shock. Delayed reperfusion can be deleterious and it is unclear how much myocardium is salvageable. The incidence of post-cardiotomy shock is 0.2-0.5 % of all patients who undergo cardiac surgery. Unfortunately, survival to recovery remains poor, reported to be 20-40% even in recent studies. Strategies that have shown improved survival have generally involved early application of mechanical support and transitioning to chronic LVAD or BiVAD support if necessary. In the case discussed above the patient is not a candidate for destination therapy, which is approved only for chronic heart failure. Furthermore, adding another complicated operation in this setting almost certainly invites further complications. The simplest available option to establish adequate temporary support is often best. While a percutaneous device with left atrial cannulation achieved through the atrial septum is a possibility for left-side support, many cases of postcardiotomy shock require biventricular support. This patient&#39;s recent MI involved the right coronary, so biventricular failure is almost certain. ECMO or short-term mechanical ventricles or blood pumps should be used in this case, with specifics determined by availability and expertise of the surgical team involved.</p><p>Cannulation schemes for RV support should be the right atrial appendage with an outflow graft to the pulmonary artery or by cannulating through the RV outflow tract. Cannulation for the left side most commonly involves LA through the interatrial groove or the right superior pulmonary vein, with return to the aorta through direct cannulation or a graft. However, many experienced surgeons advocate direct cannulation of the LV apex to allow for maximal decompression of the left ventricle, fewer cannula complications and higher VAD flows, and improved chance for recovery.</p>"		16684049	11265869	11265867	16798182	Condition critical can mechanical support prevent death due to p	Management of acute cardiac failure with mechanical assist exper	Mechanical circulatory support for acute heart failure	Outcome evaluation of the bridgetobridge concept in patients wit
anatomy; coronary artery anomalies; sudden death risk	sesats 10	1245	179	D	<p>accelerated coronary atherosclerosis.</p>	<p>associated valvular anomalies.</p>	<p>exercise-induced coronary vasospasm.</p>	<p>increased risk of sudden death.</p>	<p>right ventricular failure.</p>	Adult Acquired (TIVV)	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4545_4545a.jpg	<p>A 59-year-old man experienced increasing angina during routine activities. He had two episodes during hemodialysis last week and was admitted for further workup. A high resolution CT slice is shown. These findings are significant for</p>	"<p>The pattern of coronary blood flow during the coronary cycle is unique. Epicardial coronary vessels serve as capacitance vessels, primarily filling during the period of diastole (as much as 85% of total flow), and intramural pressure and resistance to myocardial perfusion progressively increase from the outer to inner layers of the heart. Myocardial arterioles have tremendous vasodilatory reserve capacity and enable high flow with low resistance in response to exercise. Two mechanisms of vasodilatation may be available: larger proximal vessels by endothelium-derived nitric oxide, and direct stimulation of smooth muscle cell alpha2-receptors by adenosine and other metabolites.</p><p>A coronary artery with an oblique origin, an intramural (within the wall of the aorta) course, or a position between the great arteries (as seen in this patient&#39;s CT) may be compressed and its reservoir capacity may be severly limited. The law of Laplace (tension = pressure x radius) dictates that comparable pressure in larger vessels creates greater wall tension. Thus the aorta and main pulmonary artery can compress smaller vessels that course between them or are intramural.</p><p>Signs and symptoms in older patients can include angina, syncope, arrhythmias, MI, enlarged heart, and sudden death, which is most often associated with activity. Sudden death is frequently observed in association with anomalous origin of the left coronary artery from the right sinus of Valsalva. This pattern is associated with an oblique origin, a slit-like ostium, and an intramural, inter-arterial course. Each of these features (oblique origin, ostial stenosis, intramural and intra-arterial compression) can diminish flow and result in coronary ischemia. Limited flow and loss of reservoir capacity cannot meet the increased myocardial oxygen demands associated with exercise.</p>"	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4545_4545crit.jpg	17010819	16549600	18056025	17515392	ACCFACRSCCTSCMRASNCNASCISCAISIR 2006 appropriateness criteria fo	Coronary artery anomalies classification and ECGgated multidetec	Noninvasive cardiac imaging with computed tomography	Normal and variant coronary arterial and venous anatomy on highr
aorta; Bentall procedure; complications; pseudoaneurysms	sesats 10	1384	180	D	<p>aortic valve replacement with a mechanical prosthesis and separate replacement of the tubular portion of the ascending aorta with a prosthetic graft.</p>	<p>replacement of the aortic root with a composite valve graft and reattachment of coronary arteries with a 10-mm prosthetic graft (Cabrol procedure).</p>	<p>replacement of the aortic root with a cryopreserved homograft and direct reattachment of coronary artery buttons to the homograft.</p>	<p>root replacement with a composite mechanical valve graft and direct reattachment of coronary artery buttons to the graft (modified Bentall procedure).</p>	<p>valve-sparing aortic root replacement with direct reattachment of coronary artery buttons to the prosthetic graft (David reimplantation procedure).</p>	Adult Acquired (TIVV)	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4806_question_01_figure_a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4806_4806b.jpg"	"<p>A 44-year-old man presented with increasing dyspnea. Echocardiography revealed severe aortic valve regurgitation associated with an aortic aneurysm. Parts of a CT study are shown. The patient has no signs of a heritable connective tissue disorder. During surgery the aortic valve is trileaflet, the left coronary leaflet is prolapsed, and each of the cusps has fenestrations near the commissures. The best operation for this patient is</p>"	"<p>This young patient has an aortic root aneurysm measuring nearly 8 cm in diameter and aortic root replacement is indicated. Separately replacing the aortic valve and the tubular portion of the ascending aorta is not adequate because this would leave aneurysmal sinus tissue that would be prone to further dilation and eventual rupture or dissection. A mechanical composite valve graft will provide a durable root replacement in this patient. Tension-free reattachment of the coronary arteries is critical to prevent disruption of the coronary anastomoses and pseudoaneurysm formation. In most cases this can be accomplished by mobilizing the coronary arteries along with buttons of surrounding aortic tissue (see figure A). In patients undergoing reoperations, especially those with extremely large aneurysms, it is often difficult to mobilize the coronary arteries enough to enable their direct reattachment to the graft without tension. In this situation the Cabrol technique may be the best option. Each coronary ostium is sutured to an end of a 10 mm graft, which is then connected to the aortic graft with a side-to-side anastomosis (Figure B). Tension-free coronary reattachment is then achieved without extensive mobilization.</p><p>Valve-sparing root replacement is an excellent option for young patients who need root replacement, provided that the annulus is not excessively dilated and the valve leaflets are in satisfactory condition. However, the severely dilated root, cusp prolapse, and fenestrated valve leaflets in the described patient make valve-sparing root replacement a less satisfactory option. Cryopreserved homografts are prone to degeneration, which becomes problematic in younger patients. Homografts are generally reserved for cases in which local infection makes it desirable to avoid using a synthetic graft and other prosthetic material.</p>"	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4806_4806_crita.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4806_4806_critb.jpg"		1834031	16863761		Aortic root replacement	Sixteenyear experience with aortic root replacement Results of 1	Valvesparing aortic root replacement early experience with the D	
aorta; Marfan syndrome; ascending replacement; indications	sesats 10	1391	181	D	<p>continue treatment with β-blockers and repeat the echocardiogram if symptoms develop.</p>	<p>continue treatment with β-blockers and repeat the echocardiogram in 6-12 months.</p>	<p>schedule elective graft replacement of the ascending aorta.</p>	<p>schedule elective valve-sparing aortic root replacement.</p>	"<p>stop the β-blockers, begin oral losartan, and repeat the echocardiogram in 6-12 months.</p>"	Adult Acquired (TIVV)		<p>An asymptomatic 22-year-old man with Marfan syndrome was referred for evaluation of an ascending aortic aneurysm measuring 5.0 cm in diameter. He has been compliant with his β-blocker regimen but he is concerned because his sister had an aortic dissection at age 26. An echocardiogram shows normal aortic valve function and normal ventricular function. The most appropriate management is to</p>	"<p>All patients with Marfan syndrome require aggressive cardiovascular imaging surveillance including echocardiograms obtained at regular intervals. Patients with Marfan syndrome are at high risk of acute aortic dissection even when the aorta is only modestly dilated, and this is particularly true in patients with a family history of dissection. Therefore, aortic root replacement is recommended when the ascending aortic diameter exceeds 5.0 cm in patients with Marfan syndrome, in contrast to the 5.5-cm threshold generally used in non-Marfan patients. When patients with Marfan syndrome undergo isolated graft replacement of the tubular portion of the ascending aorta, progressive disease of the aortic root -- including annuloaortic ectasia, aortic valve regurgitation, and acute dissection -- invariably develops, necessitating complex reoperation. Therefore, ascending aortic repair should always involve full root replacement using either valve-replacing or valve-sparing techniques, even if the sinuses of Valsalva are not yet dilated and the aortic valve is competent.</p><p>Although treatment with β-blockers is currently standard for Marfan patients, the effectiveness of this therapy has not yet been proved. Recent experiments show that losartan, an angiotensin II type 1 receptor antagonist, prevents aortic dilatation in a mouse model of Marfan syndrome. This work has generated a current randomized clinical trial. Regardless of losartan&#39;s efficacy in preventing aneurysms, however, it will not replace surgical treatment for patients who have indications for aortic replacement.</p>"		11845856	18439439	15781745		Aortic root replacement in 271 Marfan patients a 24year experien	Thoracic aortic aneurysm reading the enemys playbook	Treatment of aortic disease in patients with Marfan syndrome	
aorta; Marfan syndrome; genetics; fibrillin-1	sesats 10	1385	182	B	<p>elastin.</p>	<p>fibrillin-1.</p>	<p>transforming growth factor-β.</p>	<p>type I collagen.</p>	<p>type III collagen.</p>	Adult Acquired (TIVV)		<p>The mutation causing Marfan syndrome most frequently involves the gene for</p>	"<p>Marfan syndrome is a heritable connective tissue disorder associated with severe orthopedic, ophthalmologic, and cardiovascular manifestations. The most common cardiovascular problem in patients with Marfan syndrome is aortic root aneurysm caused by progressive annuloaortic ectasia. If untreated, such aneurysms ultimately rupture, dissect, or cause severe aortic valve regurgitation. In addition to aortic root aneurysms, patients with Marfan syndrome are prone to mitral valve prolapse and to aneurysms and dissections involving the aortic arch and thoracoabdominal aorta. This propensity for developing multiple aortic aneurysms mandates that periodic aortic imaging be continued for life, even after a patient has undergone successful aortic root replacement.</p><p>In most patients who meet the clinical diagnostic criteria for Marfan syndrome (ie, the Ghent criteria), the disease is attributed to a mutation in the gene for fibrillin-1. Fibrillin-1 is a glycoprotein component of microfibrils, which are key structural components of the extracellular matrix within the media of the aortic wall. Elastin and collagen are the major components of the aortic wall matrix, conferring resilience and strength, respectively. Mutations that affect these proteins are responsible for other cardiovascular conditions. For example, the vascular form of Ehlers-Danlos syndrome is caused by mutations affecting type III collagen, and supravalvular aortic stenosis is caused by mutations affecting elastin. Mutations that affect a receptor for transforming growth factor-β have been described in patients with clinical features of Marfan syndrome, and these mutations have been recently shown to cause Loeys-Dietz syndrome, a condition associated with particularly severe aortic and peripheral vascular manifestations that require aggressive surgical treatment.</p>"		17257922	18377530	17502658	17652900	Early surgical experience with LoeysDietz a new syndrome of aggr	Marfan syndrome type II there is more to Marfan syndrome than fi	Marfan syndrome an update of genetics medical and surgical manag	Phenotypic heterogeneity of Marfanlike connective tissue disorde
aorta; Marfan syndrome; threshold for operation	sesats 10	1531	183	A	<p>aortic root replacement with a mechanical valved conduit</p>	<p>losartan therapy and a follow-up CT angiogram in 12 months</p>	<p>a modified remodeling (Yacoub) procedure with replacement of the noncoronary sinus</p>	<p>valve-sparing aortic root and total aortic arch replacement</p>	<p>a Wheat procedure</p>	Adult Acquired (TIVV)	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5042_5042a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5042_5042b.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5042_5042c.jpg"	"<p>A 30-year-old man with no symptoms requested evaluation of his thoracic aorta. His father died suddenly at age 41 from an aortic dissection. On physical examination his height and wing span are 195 cm and 203 cm, respectively. The arch of his palate is remarkably high and striae are noted on his abdominal flanks. His fingers are long and spindly, and his knee joints are hyperextensible bilaterally. He suffered a dislocated lens in his right eye at age 19. Parts of a CT angiogram study are shown. Which of the following is the most appropriate management strategy for this patient?</p>"	"<p>The patient has a strong family history of aortic dissection and enough stigmata to fulfill criteria for a diagnosis of the Marfan syndrome based on the Ghent nosology. The aortic root has a maximal orthogonal diameter of 50 mm. In combination, these findings should prompt aortic root replacement. Given his age, two appropriate options include a mechanical valve-conduit or valve-sparing aortic root replacement. Ascending aortic replacement is appropriate, but total aortic arch replacement is unnecessary and unjustified in this case given the normal caliber of the aortic arch.</p><p>Replacement of only the noncoronary sinus using a modified remodeling technique is not an adequate procedure for an aortic root aneurysm in a Marfan patient. The tissue of the entire root is involved, even if the dilation is asymmetric. Similarly, a Wheat procedure (aortic valve replacement combined with supracoronary ascending aortic replacement) does not appropriately address the pathology of the aortic root. While losartan (angiotensin II receptor antagonist) administration may be beneficial to reduce the risk of progressive aortic dilation in Marfan children, this patient&#39;s aortic root has already dilated to a critical dimension. Expansion to 50 mm portends a significant risk of aortic catastrophe and justifies operative intervention at this time.</p>"		11845856	16253833	16872961	8723076	Aortic root replacement in 271 Marfan patients a 24year experien	Heritable disorders predisposing to aortic dissection	Longterm results of aortic valvesparing operations for aortic ro	Revised diagnostic criteria for the Marfan syndrome
"aorta; aneurysms, multiple; decision making; operative technique"	sesats 10	1393	184	D	"<p>graft replacement of the ascending aorta and transverse aortic arch during an initial operation, followed by graft replacement of the thoracoabdominal aorta as a subsequent operation.</p>"	"<p>graft replacement of the ascending aorta during an initial operation, followed by graft replacement of the thoracoabdominal aorta as a subsequent operation.</p>"	"<p>graft replacement of the ascending aorta, transverse aortic arch, and thoracoabdominal aorta during a single operation.</p>"	"<p>graft replacement of the thoracoabdominal aorta during an initial operation, followed by graft replacement of the ascending aorta and transverse aortic arch as a subsequent operation.</p>"	"<p>graft replacement of the thoracoabdominal aorta during an initial operation, followed by graft replacement of the ascending aorta as a subsequent operation.</p>"	Adult Acquired (TIVV)	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4815_4815a.jpg	<p>A 60-year-old woman presented with a 4 month history of increasing back pain. An echocardiogram revealed normal valve function and a left ventricular ejection fraction of 0.45. Two CT angiogram images are shown. There was no evidence of coronary artery disease on her electrocardiogram or myocardial perfusion scan. The most appropriate plan of treatment is</p>	"<p>The CT scan reveals an aneurysm that involves the ascending aorta, transverse aortic arch, descending thoracic aorta, and abdominal aorta. Patients with such large aneurysms involving both the proximal (ascending and arch) and distal (descending or thoracoabdominal) aortic segments present a clinical challenge. Replacement of both segments during a single-stage procedure is advocated by some surgeons, provided that the distal aspect of the aneurysm does not extend into the abdomen. When the distal aspect does involve the abdominal aorta, repair is generally performed in stages. The dilemma of which aneurysm to treat first is introduced.</p><p>In general it is preferable to replace the proximal segment during the initial operation. This offers the advantage of allowing concomitant treatment of coronary artery and valvular disease. The elephant trunk technique can be used in these cases because it leaves a segment of graft suspended in the descending thoracic aorta, which simplifies the second operation. The distal segment is repaired first in patients in whom the thoracoabdominal aortic aneurysm is disproportionately larger that the ascending aortic aneurysm, or in whom the distal aneurysm is causing the predominant symptoms, as in the patient described here. When the distal segment is repaired during the first operation, the reversed elephant trunk technique -- in which an 8 cm segment is invaginated into the upper end of the descending aortic graft -- can be used to simplify reconstruction of the arch during the second operation.</p>"		17257932	16631635	16305865		Optimization of aortic arch replacement with a onestage approach	elephant trunk technique for staged repair of complex aneurysms 	reversed elephant trunk technique used for treatment of complex 	
"aorta; aneurysms, multiple; risk assessment; outcomes"	sesats 10	1394	185	A	"<p>AVR and graft replacement of the ascending aorta and transverse aortic arch with elephant trunk during the first operation, then subsequent thoracoabdominal repair.</p>"	"<p>graft replacement of the thoracoabdominal first, then valve-sparing aortic root replacement and graft replacement of the ascending aorta and transverse aortic arch later.</p>"	"<p>initial AVR, followed by graft replacement of the thoracoabdominal aorta during a second operation.</p>"	"<p>thoracoabdominal aorta graft replacement first, followed by AVR and graft replacement of the ascending aorta and transverse aortic arch during the second operation.</p>"	"<p>valve-sparing aortic root replacement and graft replacement of the ascending aorta and transverse aortic arch initially, then graft replacement of the thoracoabdominal aorta later.</p>"	Adult Acquired (TIVV)	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4816_4816a.jpg	"<p>A 68-year-old woman has no pain, but she does complain of dyspnea when climbing more than one flight of stairs. She has lower extremity edema on examination. An echocardiogram reveals a bicuspid aortic valve with severe regurgitation, a dilated ascending aorta, and a left ventricular ejection fraction of 35%. The diameter at the sinotubular junction is 2.8 cm. Cardiac catheterization confirms these findings and reveals no significant coronary artery stenoses. A angiogram of the aorta is shown. The best plan to stage surgical treatment in this patient is</p>"	"<p>When a patient presents with aneurysms involving the ascending and thoracoabdominal aortic segments, the decision about which aneurysm to treat first is based on three major factors. The presence of symptoms is the most important consideration, and the lesion causing the most life-threatening symptoms should be repaired first. Second, the presence of correctable cardiac disease is an issue because clamping the descending thoracic aorta induces substantial cardiac stress. Addressing correctable coronary and valvular disease first reduces the risk of cardiac complications during the thoracoabdominal aortic repair. A third consideration relates to assessing the relative sizes of the aneurysms. When one aneurysm is disproportionately larger than the other, the larger aneurysm is treated first.</p><p>Because this patient has symptoms of aortic valve regurgitation and no symptoms related to the thoracoabdominal aortic aneurysm, the most appropriate choice is to address the aortic valve, ascending aorta, and transverse aortic arch first. Using the elephant trunk technique, which leaves a segment of graft suspended in the descending thoracic aorta, simplifies the second operation. This patient&#39;s aortic root is not enlarged, so root replacement is not warranted.</p>"		15223413	17670618	18555692	16631635	Elephant trunk procedure newer indications and uses	Open stentgrafting aborted procedure in a patient with mega aort	Staged repair of thoracic and thoracoabdominal aortic aneurysms 	elephant trunk technique for staged repair of complex aneurysms 
aorta; aortic dissection type B; diagnosis; DeBakey classification	sesats 10	1441	186	D	<p>type I.</p>	<p>type II.</p>	<p>type IIIa.</p>	<p>type IIIb.</p>		Adult Acquired (TIVV)	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4906_4906_a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4906_4906_b.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4906_4906_c.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4906_4906_d.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4906_4906_e.jpg"	<p>The DeBakey classification shown by the CT frames is</p>	<p>The CT scan demonstrates an aortic dissection with a false lumen that originates beyond the origin of the left subclavian artery. The intimal flap extends into the abdomen. The true lumen is compressed by the false lumen in the abdomen with apparent compromised flow to the celiac and superior mesenteric arteries.</p><p>In the DeBakey classification (see illustration) Types I and II refer to dissections that involve the ascending aorta. These are also referred to as Stanford Type A dissections. DeBakey Type III dissections begin distal to the left subclavian artery. Type IIIa is confined to the chest and type IIIb extends across the diaphragmatic hiatus into the abdomen. In the Stanford classification these are designated type B without distinction as to distal extent.</p>	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4906_4906c_final.jpg	17936475	7147190	16227309	18083364	Descending thoracic aortic dissections	Dissection and dissecting aneurysms of the aorta twentyyear foll	Endovascular stentgraft placement in aortic dissection a metaana	Expert consensus document on the treatment of descending thoraci
aorta; ascending aneurysm; aortic regurgitation; myocardial preservation	sesats 10	1395	187	D	<p>deliver continuous retrograde cardioplegia until the patient has been cooled enough that circulatory arrest can be initiated.</p>	<p>fill the pericardium with iced saline and continue rapid cooling until the patient has been cooled enough that circulatory arrest can be initiated.</p>	<p>place a clamp across the aneurysmal ascending aorta and deliver antegrade cardioplegia through a needle placed in the ascending aorta.</p>	"<p>place a clamp across the aneurysmal ascending aorta, open the aneurysm, and deliver antegrade cardioplegia through coronary ostial cannulas.</p>"	<p>place an additional ventricular sump cannula directly through the apex of the left ventricle.</p>	Adult Acquired (TIVV)	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4817_4817a.jpg	"<p>A 58-year-old woman reported increasing retrosternal pain and dyspnea over the past three months. Images from her CT reconstruction are shown. Other studies revealed moderate-to-severe aortic valve regurgitation but minimal calcification of the aortic valve and aorta. AVR and graft replacement of the ascending aorta and lesser curvature of the aortic arch (beveled hemi-arch repair) is now underway. Cannulation was via the right axillary artery for arterial inflow, a single right atriocaval cannula for venous drainage, a left ventricular sump through the right superior pulmonary vein, and a retrograde cardioplegia cannula. Systemic cooling was initiated immediately and ventricular fibrillation occurred at a venous return temperature of 31<sup>o</sup>C. Soon afterward the left ventricle became markedly distended and the perfusionist reported copious return from the sump line. The most appropriate way to manage this situation is to</p>"	"<p>Myocardial protection during prolonged cooling for circulatory arrest can be challenging in patients with ascending/arch aneurysms and aortic valve regurgitation. The incompetent valve allows pump flow to distend the fibrillating left ventricle and causes a marked increase in sump drainage. If not corrected, ventricular distention will cause increased myocardial oxygen demand and decreased subendocardial perfusion. The resulting inadequate myocardial preservation will lead to severely impaired postoperative cardiac function. Adding another ventricular sump may lessen distention but will not correct or reliably control this problem.</p><p>The best way to protect the myocardium is to induce cardioplegic arrest as rapidly as possible after fibrillation. When anatomically feasible, the aneurysmal ascending aorta should be clamped. This will stop the inflow into the distended left ventricle, increase systemic flow, and allow delivery of cardioplegia. In the described patient, the ascending aorta is not dissected and atheromata are not prominent so it can be clamped safely. Placing a needle in the ascending aorta is unlikely to allow adequate cardioplegia delivery, as the cardioplegia will flow through the regurgitant valve instead of pressurizing the root and perfusing the coronary arteries. The best approach is to open the ascending aorta and deliver cardioplegia directly into the coronary ostia. When clamping the aorta is not possible (e.g., in patients with enormous aneurysms, see figure) delivering continuous retrograde cardioplegia while manually decompressing the ventricle and continuing rapid cooling may be the only option.</p>"	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4817_figure_for_question_07_critique.jpg			17314066		Complications of cardiopulmonary bypass and cardioplegia	Extracorporeal circulation perfusion system	Giant ascending aortic aneurysma case report and review	Myocardial protection
